Brand,Room_Size_in_Sq/f,Stars,Tons,Power_Usage_in_Watts,Launch_Year,Price,Original_Price,Discount(%),Warranty_in_Years,Ratings,No_of_Ratings,No_of_Reviews
Hitachi,150,3.0,1.5,859.325,2025,33490,57400,41,1.0,4.0,10198,1239
CARRIER,90,5.0,1.0,536.2,2025,32990,61300,46,1.0,4.1,4439,700
Mitsubishi,200,3.0,1.9,1212.1,2024,54986,72000,23,1.0,3.4,13,1
Lloyd,200,3.0,2.0,1264.42,2025,42490,71490,40,1.0,3.9,619,51
Haier,150,3.0,1.5,1192.12,2025,25370,43600,41,1.0,3.9,409,36
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Samsung,150,3.0,1.5,1047.62,2025,35490,63490,44,1.0,4.1,35239,3226
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15075,1776
LG,150,4.0,1.5,838.67,2025,37990,75990,50,1.0,4.1,2016,222
Godrej,90,5.0,1.0,516.37,2025,29990,48900,38,5.0,4.0,2352,235
Godrej,150,3.0,1.5,1003.51,2024,27479,47900,42,1.0,4.0,18307,1520
Haier,150,5.0,1.5,714.29,2025,38050,71000,46,1.0,4.1,2092,252
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Lloyd,90,3.0,1.0,698.48,2025,27490,49990,45,1.0,4.1,4841,538
IFB,150,3.0,1.5,859.325,2025,36990,67286,45,1.0,4.2,7601,805
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Hitachi,150,3.0,1.5,859.325,2025,33490,57400,41,1.0,4.0,10198,1239
CARRIER,200,5.0,2.0,920.55,2025,51990,84400,38,1.0,4.2,2140,238
Lloyd,90,5.0,1.0,859.325,2025,30999,56990,45,1.0,4.0,1116,96
Panasonic,200,3.0,2.0,1215.59,2024,42190,63900,33,1.0,4.2,794,69
Lloyd,90,3.0,1.0,689.77,2025,34500,54990,37,1.0,4.1,4841,538
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
Godrej,150,5.0,1.5,728.31,2025,34850,60500,42,5.0,4.0,10543,1072
MOTOROLA,200,3.0,2.0,1281.64,2025,39990,68199,41,1.0,4.4,381,58
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
IFB,200,3.0,2.0,1252.53,2025,40990,73740,44,10.0,4.2,1048,106
Voltas,150,3.0,1.5,859.325,2025,35990,70890,49,1.0,4.2,76440,6627
LG,150,5.0,1.5,744.75,2025,46990,84990,44,1.0,4.2,42295,4041
CARRIER,150,3.0,1.5,859.325,2026,34490,65900,47,1.0,4.2,35577,4407
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
ONIDA,200,3.0,2.0,1231.9,2025,35990,66290,45,1.0,4.2,988,102
Panasonic,200,3.0,2.0,1200.23,2025,48770,64800,24,1.0,4.2,794,69
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
TCL,150,3.0,1.5,993.57,2025,27990,52991,47,1.0,4.1,1067,126
LG,150,5.0,1.5,859.325,2025,41990,78990,46,1.0,4.2,42295,4041
Godrej,90,3.0,1.0,1054.0,2025,28990,38600,24,5.0,4.0,7284,668
Mitsubishi,150,3.0,1.5,951.43,2024,45028,64300,29,1.0,4.0,50,4
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Hitachi,150,3.0,1.5,859.325,2025,33490,57400,41,1.0,4.0,10198,1239
Midea,150,3.0,1.5,952.68,2025,28490,57400,50,1.0,4.3,17785,2754
Daikin,150,4.0,2.2,1184.53,2024,58590,86800,32,1.0,4.3,84,6
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
MarQ,200,3.0,2.0,1281.64,2024,65999,57798,40,1.0,4.2,1376,156
